10.70017,57.7144;128.6602,-7.525799
3.639964,47.66189;0,0
2.287848,45.81186;-33.60631,-45.98158
1.709557,45.06665;1.970459,3.815376
1.180728,47.27323;-14.09852,52.97727
-0.3693198,50.54595;-31.5886,55.36674
-2.179085,55.48517;-29.49477,95.56889
-2.179085,55.48517;-29.49477,95.56889
6.056095,18.14748;0,0
4.731729,20.01744;-32.91685,46.47763
0.8458325,22.01753;-80.39362,26.95505
-4.776288,24.0943;-100.2711,38.37947
-9.011483,28.0404;-56.1104,79.1882
-13.99571,32.73618;-96.3034,77.85831
-19.41759,36.37875;-87.49084,52.34494
-22.37467,38.31171;-30.61198,22.37435
-22.22474,40.89014;18.63895,53.11301
-19.04507,44.86576;69.83862,72.75785
-13.12961,47.73524;112.708,35.66286
-4.397084,50.17439;161.6783,43.1142
6.04895,54.66088;180.2399,90.29409
15.51206,61.98631;146.7378,137.6835
21.06046,68.09089;96.32221,13.69005
22.98362,68.26654;42.85814,13.327
25.14189,66.12115;32.66063,-46.63084
25.90697,62.06696;3.044459,-77.87143
24.80628,55.9926;-28.81506,-112.7429
22.85794,49.38918;-34.27493,-108.7917
20.38265,44.19352;-44.68013,-75.77314
20.02762,40.54642;13.0047,-53.48796
19.14298,39.12527;-28.25974,-9.20118
15.9036,40.23095;-66.65643,31.94416
13.08397,44.14262;-37.42971,81.49768
12.54469,50.47831;4.910321,117.4499
11.54624,55.28681;-27.1726,61.92203
8.659291,57.13002;-58.38149,15.51952
7.10059,57.33598;-10.15372,-2.435252
8.731562,56.88256;45.51335,-10.11565
12.89199,54.5978;81.0705,-51.78813
14.4371,53.1993;77.28159,-69.94861
25.06805,35.0023;0,0
22.80095,35.1118;-56.35113,2.721649
17.71085,34.88737;-98.84429,-6.901719
10.83379,36.46514;-122.4036,42.54615
5.516055,40.46706;-72.1464,78.53275
3.182714,45.98244;-22.65144,98.51636
1.292523,50.34274;-35.83752,60.0678
0.6579449,52.16916;1.723761,15.96229
0.4409203,54.42837;-6.575113,58.90144
-1.883635,56.56489;-54.4858,24.28819
-5.371296,57.52273;-59.95908,11.91583
-6.965598,56.79885;-10.3239,-23.73278
-5.911238,53.83394;31.21706,-62.06107
-2.486303,48.64167;69.77703,-98.58066
3.15069,41.33516;105.8237,-133.1847
10.79669,31.96935;138.0544,-167.3655
16.90975,21.02667;86.53617,-192.7767
20.33444,11.66956;42.67287,-137.9562
21.48097,5.665591;7.590892,-81.55115
23.27262,2.865618;40.74115,-29.65978
23.42123,3.29799;-5.582199,18.95163
24.72035,6.01353;34.98664,58.21105
26.96591,10.39252;54.9104,108.8147
28.34858,18.12964;7.470626,138.8664
26.76565,27.25066;-42.95537,158.5177
22.54469,34.84586;-83.7713,111.004
16.03077,39.65444;-120.7377,65.08096
7.558411,41.91747;-151.281,24.34786
0.506384,41.67598;-101.0547,-17.90013
-3.622293,39.04681;-53.08763,-56.50437
-4.975408,37.40609;-7.64276,-13.08795
-3.807462,38.28755;32.82104,28.27229
-0.3587657,41.59783;69.60178,68.38648
4.644478,47.60557;90.18394,115.7186
7.60816,52.06129;38.71578,70.87605
11.42675,54.45764;75.8715,24.85881
17.37882,54.21727;110.6877,-18.11861
22.06031,51.57605;62.09286,-56.69753
23.89848,46.78556;15.28907,-91.21402
22.63314,40.68587;-38.88787,-106.8416
18.5427,35.93004;-82.52694,-65.82136
12.15986,33.77556;-118.1087,-21.30356
3.908248,34.33928;-147.0981,24.41607
-2.697962,37.14517;-92.04179,57.70688
